Gene,C3,C5,C7,T3,T4,T5
Xkr4,56,16,38,51,45,26
Rp1,1,0,0,0,0,0
Sox17,99,72,89,82,85,41
Mrpl15,1034,763,899,753,776,679
Lypla1,3850,2487,3227,3732,3494,1539
Tcea1,1783,1201,1568,1613,1642,789
Rgs20,13,2,3,0,2,1
Atp6v1h,1545,978,1261,1324,1392,843
Oprk1,10,7,5,0,24,3
Npbwr1,1,4,3,0,1,0
Rb1cc1,1930,1042,1501,1766,1933,504
Alkal1,19,8,5,8,11,2
St18,53,40,50,48,69,17
Pcmtd1,1571,949,1208,1454,1530,376
Sntg1,5,13,5,12,11,7
Rrs1,1101,693,994,698,866,494
Adhfe1,42,107,35,30,54,18
2610203C22Rik,11,6,8,1,7,0
Vxn,1,4,1,3,5,0
Mybl1,80,56,76,46,59,13
Vcpip1,1554,990,1272,1475,1501,458
1700034P13Rik,6,3,6,10,3,8
Sgk3,186,189,121,145,165,55
Mcmdc2,3,2,1,0,4,0
Snhg6,256,167,237,212,222,218
Snord87,7,2,1,0,2,0
Tcf24,15,20,22,19,22,5
Ppp1r42,1,1,2,3,0,0
Cops5,1764,1123,1457,1372,1339,840
Cspp1,635,480,543,619,627,172
Arfgef1,6306,3739,4622,5818,6033,1587
Cpa6,31,11,8,20,16,8
Prex2,209,136,168,313,330,55
A830018L16Rik,5,4,4,3,5,1
Mir6341,0,0,0,0,0,0
Gm17644,0,0,0,0,0,0
Sulf1,368,379,270,314,361,91
Slco5a1,34,12,20,19,27,3
Prdm14,47,11,22,34,40,22
Ncoa2,2215,1268,1600,2029,2049,640
Tram1,3286,2378,2791,2694,2967,1000
Lactb2,699,475,598,678,682,348
Xkr9,71,55,81,102,83,79
Gm5523,1,0,0,0,0,0
Eya1,2,7,8,8,7,2
Msc,55,21,25,18,20,14
Trpa1,39,37,22,47,86,10
Kcnb2,34,21,22,49,50,6
Terf1,461,332,388,407,382,129
Sbspon,29,22,17,19,20,18
4930444P10Rik,1,0,0,0,4,0
Rpl7,19062,12882,15930,16050,17422,12075
Rdh10,880,671,685,901,1192,491
Stau2,472,320,438,464,467,179
Ube2w,587,411,451,550,483,233
Eloc,808,501,708,646,590,453
D030040B21Rik,0,0,0,0,0,0
Tmem70,1108,765,936,901,1071,558
Ly96,85,65,90,83,96,63
Jph1,24,23,42,34,40,10
Gdap1,27,14,23,21,33,9
Pi15,27,29,18,19,34,7
Gm16070,0,0,0,0,0,0
Crispld1,12,9,8,14,19,5
Crisp4,0,0,0,0,0,0
Defb44-ps,0,0,0,0,0,0
Defb18,0,0,0,0,0,0
Defb41,0,0,0,0,0,0
Gm15825,0,0,0,0,0,0
Tfap2d,0,0,1,0,0,0
Tfap2b,0,0,0,0,0,0
Pkhd1,121,54,66,143,110,59
4930486I03Rik,0,0,0,0,0,0
Lincmd1,0,0,0,0,0,0
Mir206,0,0,0,0,0,0
Mir133b,0,0,0,0,0,0
Il17a,0,1,0,0,0,0
Il17f,2,0,1,3,3,0
Mcm3,1738,1085,1586,1159,1199,1027
6720483E21Rik,1,1,4,4,3,4
Paqr8,1159,796,1082,1402,1499,582
Efhc1,27,20,14,40,31,7
Tram2,64,69,61,60,93,33
Tmem14a,60,63,42,73,84,58
Gsta3,214,253,143,277,450,236
Gm4956,44,24,28,31,57,21
Khdc1a,35,21,16,55,43,21
Khdc1c,0,0,1,0,0,0
Khdc1b,0,0,0,0,0,4
Kcnq5,47,19,19,20,34,9
Rims1,329,191,249,178,271,57
Gm7759,0,0,0,0,0,0
Ppp1r14bl,0,0,0,0,0,0
Mir30a,0,0,0,0,1,0
Mir30c-2,0,0,0,0,0,0
Ogfrl1,376,234,341,270,329,135
Gm28822,0,0,0,0,0,0
B3gat2,32,32,38,46,53,15
Smap1,1435,979,1123,1426,1385,754
Sdhaf4,265,156,215,179,231,195
Fam135a,2340,1355,1904,2304,2256,460
Col9a1,4,1,0,1,1,0
Col19a1,0,0,2,1,0,0
Lmbrd1,2041,1362,1594,1820,1958,787
Adgrb3,25,13,19,9,29,8
Gm20172,0,0,0,0,0,0
Gm9884,0,0,0,0,0,0
4931408C20Rik,0,0,0,0,0,0
Gm5524,0,0,0,0,0,0
Gm597,0,0,0,0,0,0
Mir6342,0,0,0,0,0,0
Gm31465,0,0,0,0,0,0
Phf3,2021,1290,1616,1973,1974,512
Ptp4a1,3550,2341,2977,2622,3071,1166
LOC115487084,11,11,6,4,10,7
Gm29669,0,2,0,0,0,1
4931428L18Rik,0,0,0,0,0,0
Lgsn,0,0,0,1,0,0
Dnaaf6,0,0,0,1,0,0
Gm4850,0,0,0,0,0,0
Khdrbs2,10,2,4,4,2,2
Gm9839,0,0,0,0,1,0
Gm5415,4,1,0,2,0,0
Prim2,397,193,262,255,214,112
1700001G17Rik,0,5,7,4,7,5
Gm32229,0,0,1,1,0,0
Rab23,456,316,346,366,451,145
Bag2,260,208,208,179,250,127
Zfp451,481,272,373,389,380,117
Gm15455,2,1,3,2,4,6
Bend6,10,25,10,11,15,6
Dst,6510,4155,4886,6734,6680,1935
Mir6896,0,0,0,0,0,0
Gm26788,2,2,0,3,0,0
Mir5103,2,2,1,2,1,2
Ccdc115,564,463,526,476,530,267
Imp4,1246,870,953,934,997,605
Ptpn18,2337,1447,1899,1825,2085,1585
Prss39,0,0,0,0,0,0
Cfc1,0,0,0,0,0,0
Prss40,0,0,0,0,0,0
Amer3,3,0,3,3,2,4
AA619741,0,0,0,0,0,0
Arhgef4,53,37,43,37,43,25
Fam168b,5156,3505,4194,4385,4979,2722
Plekhb2,13973,8546,11114,11674,12533,8487
Hs6st1,5280,3469,4365,3865,4524,2951
Uggt1,6329,3672,4946,4683,4724,1731
Mir6897,0,0,1,0,0,0
Neurl3,7110,4007,5775,6030,5803,4874
Arid5a,498,328,401,249,310,310
Kansl3,3060,1931,2457,2719,2848,1525
Mir6898,0,0,0,0,0,0
Fer1l5,193,124,131,127,167,77
Lman2l,578,443,457,421,530,357
Gm33454,13,10,4,4,6,6
Cnnm4,16547,10986,13778,14695,16740,11442
Cnnm3,1048,721,872,916,1145,693
Ankrd23,193,146,168,153,213,98
Ankrd39,246,152,177,188,213,165
Sema4c,507,319,436,437,519,405
Fam178b,8,10,6,6,4,1
Cox5b,7291,4514,5865,5500,5695,4281
Actr1b,5017,3137,4082,3881,4341,4226
4933424G06Rik,1,0,4,2,3,0
Zap70,26,26,31,23,34,30
Tmem131,7996,4730,6024,6923,7369,2214
Vwa3b,82,42,74,70,62,28
Cnga3,44,39,45,37,39,34
Inpp4a,801,595,631,627,696,300
Coa5,3573,2330,3023,2927,2879,1404
Unc50,1371,862,1122,1210,1223,641
Mgat4a,8973,4699,6120,7495,9201,2281
4930594C11Rik,20,22,32,19,42,15
Cracdl,2175,1391,1666,2011,2302,1349
Tsga10,60,31,38,54,63,20
Lipt1,86,75,99,96,110,50
Mitd1,479,328,427,457,427,168
Mrpl30,1275,860,1140,967,1018,1084
Lyg2,0,0,0,0,0,0
Lyg1,0,0,0,0,0,0
Txndc9,1948,1049,1486,1455,1409,698
Eif5b,3176,2198,2768,2569,2596,973
Rev1,276,155,194,231,307,73
Gm5099,0,0,0,0,0,0
Aff3,78,53,72,93,128,49
Lonrf2,64,31,32,31,65,18
Chst10,21,27,15,13,48,8
Nms,0,0,0,0,0,0
Pdcl3,1152,748,1010,916,1014,629
Mir6349,0,0,0,0,0,0
Npas2,1196,661,679,501,419,239
Rpl31,8929,5991,7332,7226,7595,8803
Tbc1d8,641,499,542,569,606,224
Cnot11,1013,754,835,840,899,556
Snord89,13,10,8,12,18,4
Rnf149,2313,1874,1797,1867,2168,1083
Creg2,20,19,18,21,21,8
Rfx8,2,0,0,1,0,0
Gm3646,0,1,0,0,0,0
1700066B17Rik,0,0,0,1,0,0
Gm35600,0,0,0,0,0,0
Map4k4,1553,1329,1412,1326,1459,628
Gm16894,3,0,1,1,0,0
Il1r2,19,26,17,24,13,10
Il1r1,793,918,685,855,807,237
Il1rl2,88,113,76,87,123,45
Il1rl1,264,142,190,233,174,98
Il18r1,90,103,81,72,74,14
Il18rap,55,58,57,49,41,14
Gm35801,0,0,0,0,0,0
Slc9a4,13,11,9,22,22,9
Slc9a2,8592,5384,7207,8691,9788,5793
Mfsd9,795,451,595,780,761,435
Tmem182,13,20,17,16,23,5
4930448I06Rik,0,0,0,0,0,0
Gm39631,0,0,0,0,0,0
Pantr1,0,2,2,1,5,2
Gm46091,0,1,0,0,1,0
Pou3f3,72,34,32,41,73,39
2900092D14Rik,6,7,8,4,12,0
Pantr2,6,0,1,1,2,0
Dalir,0,2,0,0,1,0
Mrps9,1031,691,997,852,924,547
Gpr45,2,0,0,0,5,1
Tgfbrap1,1526,1044,1296,1474,1511,931
AI597479,516,359,463,542,538,149
Fhl2,812,452,699,836,903,450
Nck2,3150,1717,2265,2604,2861,1521
Ecrg4,6,6,3,9,0,8
Uxs1,737,511,639,700,706,359
Tpp2,2213,1405,1821,2048,1979,559
Mettl21c,2,0,2,0,1,0
Gm8251,8,10,6,3,5,0
Tex30,235,142,223,143,146,107
Poglut2,382,240,269,316,299,112
Bivm,370,190,285,323,374,140
Ercc5,596,388,480,501,516,147
Mettl21e,0,0,0,1,0,0
Gulp1,196,162,165,149,245,95
4930521E06Rik,2,2,2,0,4,0
Col3a1,18377,26831,13874,19170,23857,13408
Col5a2,2090,2189,1620,2005,2564,1408
Wdr75,766,534,674,600,620,208
Slc40a1,4658,3918,4337,5450,7941,2439
Stk-ps2,0,0,1,3,2,0
Dnah7b,22,4,16,49,39,8
Dnah7c,0,1,2,1,4,0
Slc39a10,710,506,531,435,451,127
Mir6350,0,0,0,0,0,0
C230029F24Rik,0,0,0,0,0,0
Tmeff2,25,57,20,14,29,20
9330175M20Rik,0,0,0,0,0,0
Cavin2,832,682,587,626,855,181
Nabp1,380,226,301,287,333,100
Gm17767,2,2,2,1,4,2
Myo1b,2475,1478,1905,2163,2214,612
Stat4,30,22,26,16,13,8
Stat1,10968,5153,12541,8756,6729,4860
Gls,2670,1730,2320,2748,2931,956
Nab1,2562,1597,1959,1882,2089,752
Gm53065,2,0,0,1,3,0
Gm28178,0,0,0,0,0,0
Nemp2,253,159,180,173,198,64
Mfsd6,8880,5917,7200,8198,8172,2337
Inpp1,692,390,548,568,650,262
Hibch,571,447,400,507,474,221
1700019D03Rik,619,384,470,610,723,184
Mstn,1,0,0,0,2,0
1700019A02Rik,4,0,0,2,1,0
Pms1,115,57,101,60,102,47
Ormdl1,504,312,394,357,452,198
Osgepl1,212,174,184,222,208,101
Asnsd1,760,589,686,707,678,391
Asdurf,0,0,0,0,0,0
Dnah7a,0,2,3,1,1,3
Stk17b,1240,826,1044,1378,1823,597
Hecw2,39,22,43,41,57,11
Mir7681,0,0,0,0,0,0
Rnu6,6,0,8,2,3,2
Ccdc150,2,2,3,2,7,0
Gtf3c3,615,377,485,558,652,142
Gm34066,0,0,0,0,0,0
Pgap1,782,423,527,804,732,178
Ankrd44,632,402,474,610,605,189
Sf3b1,8260,5690,7073,7993,8197,1495
Coq10b,639,467,593,672,1056,295
Hspd1,9395,6676,7724,5954,6505,2636
Hspe1,2477,1686,2083,1445,1631,1175
Mob4,1472,1001,1159,1293,1368,609
Rftn2,144,117,113,110,155,58
Gm10561,19,13,16,9,18,6
Mars2,462,329,408,394,426,180
Boll,3,0,2,1,3,0
Plcl1,119,96,73,88,127,30
Gm6644,3,3,5,3,5,4
9130227L01Rik,69,61,72,86,62,52
1700003I22Rik,7,5,13,16,9,13
Hsfy2,0,0,0,0,0,0
Satb2,6622,3646,5126,5842,6355,2682
9130024F11Rik,1048,569,733,1022,1088,502
1700126A01Rik,0,0,0,0,0,0
BC055402,0,0,0,0,0,0
4930558J18Rik,12,0,5,10,6,4
1700066M21Rik,244,147,190,186,217,69
Tyw5,96,106,105,98,115,59
Maip1,567,390,497,401,451,321
Spats2l,1962,1041,1721,1769,1800,672
Kctd18,267,183,242,182,291,89
Sgo2a,455,246,355,373,313,79
Aox1,58,82,104,100,107,32
Aox3,8,22,5,5,4,7
Aox4,0,0,1,3,0,0
Aox2,6,4,7,9,5,3
Bzw1,7741,5211,6651,6474,5861,2041
Clk1,2920,1911,2801,2543,3333,708
Ppil3,226,159,186,195,163,149
Nif3l1,579,434,486,431,440,221
Orc2,496,346,501,399,380,152
Fam126b,493,284,422,567,539,100
Ndufb3,984,726,868,824,789,679
Gm20257,40,48,56,53,54,5
Flacc1,33,25,23,44,32,15
Cflar,2184,1559,1989,2052,2306,624
Casp8,4097,2913,3667,3239,3231,1060
Trak2,2152,1396,1752,1835,1944,611
Stradb,535,317,413,466,524,259
C2cd6,2,0,0,1,3,0
Tmem237,78,85,93,95,117,55
Mpp4,5,4,2,9,8,3
Als2,604,396,516,738,629,280
Gm33667,9,2,6,7,3,0
Cdk15,3,2,0,1,0,0
Fzd7,998,640,726,804,949,449
Gm973,10,5,5,10,4,2
Sumo1,1746,1133,1470,1444,1594,1231
Nop58,1739,1180,1476,1297,1254,663
Snord70,3,1,0,0,0,1
Snord11,1,0,0,3,0,0
Bmpr2,1567,984,1203,1596,1705,524
Fam117b,2110,1564,1701,2002,2193,854
Ica1l,11,17,14,14,26,5
Wdr12,367,232,263,221,264,128
Carf,185,100,124,166,156,48
Nbeal1,901,440,513,894,811,181
Cyp20a1,577,466,480,503,464,287
Abi2,255,183,219,234,325,81
Raph1,3162,1991,2476,3411,3321,926
Cd28,12,5,3,0,4,1
Ctla4,6,1,5,2,18,4
Icos,3,11,11,9,11,0
9530026F06Rik,0,0,0,0,0,0
Pard3b,1236,670,926,1149,1168,420
Pard3bos2,3,0,1,4,5,1
Nrp2,2489,1988,2282,2805,3334,1181
4930487H11Rik,16,8,8,22,26,2
Ino80d,1639,1003,1257,1712,1574,368
Ino80dos,58,32,42,63,71,19
Ndufs1,4377,2940,3752,3648,3607,1172
Eef1b2,8705,5927,7017,7112,8338,7323
Snora41,3,5,15,6,15,1
Gpr1,2,4,2,2,2,1
Zdbf2,10,3,14,6,9,1
Adam23,402,287,308,303,406,179
Gm39653,0,0,0,0,0,0
Dytn,0,0,0,0,0,0
Mdh1b,0,0,1,3,0,1
Fastkd2,668,423,521,441,472,179
4933402D24Rik,3,4,5,0,3,1
Gm13749,7,0,0,3,3,1
Klf7,298,167,204,192,228,55
Mir6899,0,0,0,0,0,0
Creb1,1573,982,1262,1467,1395,309
Mettl21a,317,182,211,245,261,115
2810408I11Rik,33,23,39,22,28,32
Ccnyl1,696,408,559,567,592,238
Fzd5,4721,3371,4162,5290,6276,2869
Plekhm3,220,192,152,182,204,93
Gm51627,3,1,0,2,1,0
Akr1cl,0,1,0,1,2,0
Cryge,0,0,0,0,0,0
Crygd,0,0,0,0,0,0
Crygc,0,0,0,0,0,0
Crygb,0,0,0,0,0,0
Cryga,0,0,0,0,0,0
D630023F18Rik,2,6,7,7,5,0
Idh1,5484,3660,4273,5101,5393,2243
Pikfyve,860,543,783,845,859,178
Pth2r,0,0,0,0,0,0
Crygf,0,0,0,0,0,0
Map2,195,122,145,139,224,44
Unc80,42,35,23,48,46,11
Rpe,1253,809,972,1000,910,420
Kansl1l,263,145,221,250,317,58
Acadl,5776,4106,5323,5646,5172,2816
Myl1,8,12,8,4,5,2
Lancl1,600,386,526,586,624,477
Cps1,345,178,226,285,155,74
Erbb4,0,0,0,1,0,0
Ikzf2,564,324,427,508,564,135
Spag16,1,8,6,6,9,2
Vwc2l,1,1,1,0,0,0
Bard1,328,194,301,183,173,75
Abca12,966,579,1020,1395,1287,379
Atic,3279,2169,2819,2452,2535,2010
Fn1,15091,33329,10021,12857,12950,5316
Apol7d,0,2,0,1,0,0
Gm8883,0,0,0,0,0,0
4933417E11Rik,0,3,1,3,0,0
Gm4319,0,1,0,1,0,0
Mreg,33,22,13,40,32,22
Gm51630,0,0,0,0,0,0
D230017M19Rik,19,8,10,19,9,5
Pecr,195,162,216,214,256,114
Tmem169,8,10,10,3,8,0
Xrcc5,530,384,450,477,524,209
Marchf4,16,9,9,23,29,8
Smarcal1,717,417,540,550,625,244
Ankar,0,0,0,0,0,0
Rpl37a,6748,5131,6275,6182,6418,7165
Igfbp2,791,356,572,779,740,837
Igfbp5,3142,2406,2793,2590,2467,1166
Tnp1,0,0,0,0,0,0
1700027A15Rik,0,0,0,0,0,0
Gm31254,0,0,0,0,0,0
Gm31344,0,0,0,2,0,1
Pinc,0,0,0,0,0,0
D530049I02Rik,0,0,0,0,0,0
6030407O03Rik,0,1,0,0,0,0
Mir6351,0,0,0,0,0,0
Tns1,8170,4840,6156,5549,8237,4154
Rufy4,2,4,2,6,4,4
Cxcr2,5,21,4,0,0,0
Cxcr1,0,1,0,0,1,0
Mir1928,0,0,0,0,0,0
Arpc2,9669,6402,8190,8469,8734,3675
Gpbar1,7,9,13,12,20,16
Aamp,2246,1459,1767,1788,1756,2015
Gm28364,22,12,21,9,10,11
Pnkd,573,409,489,437,514,523
Tmbim1,6399,3880,5040,5102,5773,4283
Catip,11,10,10,20,23,7
Slc11a1,284,497,258,206,275,151
Ctdsp1,4621,3117,3889,4108,4714,4311
Mir26b,9,9,3,4,7,4
Vil1,30120,19002,25580,25642,26064,18722
Usp37,1124,662,872,1077,1105,367
Cnot9,1553,903,1214,1150,1213,549
Plcd4,35,31,14,23,22,7
Zfp142,674,515,555,494,511,211
Bcs1l,338,221,258,289,303,234
Rnf25,619,354,497,479,631,220
Stk36,36,22,20,34,47,23
Ttll4,1236,735,964,928,1015,309
Cyp27a1,569,328,520,541,746,418
Prkag3,6,1,8,6,11,4
Wnt6,23,23,24,37,38,38
Wnt10a,1,0,0,1,0,0
Gm16582,0,0,0,0,0,0
Cdk5r2,70,47,51,49,74,88
Fev,59,35,49,34,46,56
Cryba2,15,14,11,14,15,9
Mir375,0,0,0,0,0,0
Cfap65,13,7,13,6,12,7
Ihh,3743,2123,2819,2925,3465,3007
Nhej1,178,136,164,158,134,130
Slc23a3,87,62,72,129,145,93
Cnppd1,2288,1587,2061,2195,2476,2116
Retreg2,2356,1775,1885,2189,2615,2448
Zfand2b,988,653,768,693,804,803
Abcb6,1700,1234,1501,1546,2026,1928
Atg9a,3232,2133,2561,2953,3365,2741
Ankzf1,866,601,666,906,997,532
Glb1l,140,119,121,137,118,49
Stk16,2066,1328,1624,1436,1495,1127
Tuba4a,4134,2458,3454,2709,2937,2117
A630095N17Rik,3,3,5,1,4,1
Dnajb2,853,697,779,706,860,658
Ptprn,367,283,297,265,461,360
Resp18,94,96,77,79,117,75
Dnpep,2958,1919,2717,2565,2574,2644
Des,21439,12892,16007,14565,20193,15973
Gm15179,0,0,0,3,0,0
Speg,827,506,597,471,717,425
Gmppa,2989,2023,2405,2326,2388,1875
Asic4,8,5,8,7,8,15
Chpf,1009,756,818,659,929,886
Tmem198,84,62,77,72,89,50
Obsl1,173,166,140,135,240,148
Inha,64,49,52,68,92,24
Stk11ip,891,669,719,813,919,743
Slc4a3,248,227,192,201,328,238
Gm17751,0,0,0,0,0,0
Mir6343,0,0,0,0,0,0
Epha4,415,306,348,393,478,87
Mir6352,0,0,0,0,0,1
Pax3,0,0,0,0,0,0
Gm33152,0,0,0,0,0,0
Gm2102,16,3,14,4,23,8
Sgpp2,7960,5012,6160,6148,6948,2423
Farsb,1721,1146,1517,1287,1225,560
Mogat1,2,9,1,0,0,0
Utp14b,539,304,326,495,581,172
Acsl3,2685,1491,1911,3311,4299,1033
Gm29536,0,0,0,0,0,0
Kcne4,71,57,62,83,93,50
Scg2,330,185,235,187,311,132
Ap1s3,668,440,460,603,680,248
Wdfy1,627,414,549,671,754,214
Mrpl44,801,571,639,623,676,594
Serpine2,207,172,194,198,269,128
Fam124b,4,2,2,0,3,0
Cul3,2474,1672,1970,2242,2358,930
1700016L21Rik,0,0,1,0,0,0
Dock10,296,212,262,252,309,62
Nyap2,2,0,3,0,1,1
Mir6344,0,0,0,0,0,0
Irs1,309,225,203,299,349,100
Rhbdd1,805,563,757,830,770,357
Col4a4,15,11,12,17,13,6
Col4a3,19,22,30,41,29,17
Mff,1609,991,1284,1300,1382,747
Tm4sf20,5047,3100,3833,3403,3959,2795
Gm17764,0,0,2,0,0,0
Agfg1,1943,1319,1644,1608,1776,603
Slc19a3,3,3,2,7,5,3
Krtap28-13,0,0,2,0,0,0
Ccl20,63,25,31,13,19,15
Daw1,3,0,0,2,1,0
Sphkap,10,12,24,17,24,13
Pid1,237,272,200,174,234,101
Mir6353,0,0,0,2,0,0
Dner,106,45,67,75,97,42
Mir5126,0,0,0,0,0,0
Trip12,6275,4120,5192,6220,6090,1659
Fbxo36,72,52,55,71,78,37
Slc16a14,1,0,0,0,0,0
A530032D15Rik,4,5,3,2,4,1
A530040E14Rik,48,12,48,42,15,19
Gm38510,0,0,0,1,0,0
Gm7609,6,10,11,5,5,1
C130026I21Rik,4,5,4,1,5,4
LOC102633783,1,0,0,0,1,0
Gm2619,1,0,0,3,0,0
Gm7592,5,10,8,24,8,2
Sp110,770,480,822,775,679,234
Sp140,619,246,578,672,427,231
Sp100,1323,1071,1297,1403,1489,657
A630001G21Rik,187,103,100,163,140,53
Mir8096,0,0,0,0,0,0
9930111H07Rik,1,0,0,0,0,0
Cab39,8779,5567,7259,8109,7763,3047
Itm2c,2752,1815,2408,2223,2692,3142
4933407L21Rik,0,1,1,4,7,0
Gpr55,36,15,25,19,24,9
Spata3,2,0,1,0,2,1
2810459M11Rik,871,605,579,801,892,631
Psmd1,3996,2556,3371,3291,3041,1324
Htr2b,79,31,85,58,93,31
Armc9,311,226,218,246,307,141
Gm28626,112,70,124,80,139,52
B3gnt7,10504,6708,8925,8246,9714,6551
Ncl,8475,5735,7693,7117,7592,1874
Snora75,4,2,3,4,3,2
Gm24148,7,1,3,5,5,1
Snord82,0,0,0,1,0,0
C130036L24Rik,20,13,6,14,13,8
Nmur1,13,11,16,13,5,11
Tex44,3,0,0,0,0,0
Ptma,20764,12967,17565,15227,14776,13099
Pde6d,431,265,344,319,321,272
Cops7b,569,407,485,455,503,288
Nppc,1,1,0,3,1,1
Dis3l2,560,364,457,554,496,332
Alppl2,3,17,12,5,14,8
Alpi,665,505,641,927,1230,818
Akp3,1,0,0,0,0,0
Ecel1,0,1,1,0,1,5
Prss56,0,0,0,0,0,0
Chrnd,0,0,0,0,0,0
Chrng,0,0,0,0,0,0
Eif4e2,2168,1499,1908,1776,1747,1372
Efhd1,26,36,29,16,13,24
Gigyf2,2582,1750,2102,2450,2544,565
Kcnj13,15,1,2,5,14,3
Snorc,3,0,1,4,0,1
Ngef,1159,746,1049,1138,1487,1032
Neu2,16,6,11,24,30,16
Inpp5d,400,445,393,346,365,230
Gm33517,0,0,0,3,1,0
Atg16l1,985,702,988,899,996,524
Scarna6,2,6,0,4,0,0
Sag,1,8,8,7,7,4
Dgkd,3997,2723,3046,3880,4198,2702
Gm19582,15,6,3,6,8,2
Usp40,971,591,644,665,793,196
Ugt1a10,0,0,0,0,0,0
Ugt1a9,0,0,0,1,0,0
Ugt1a8,0,0,0,0,0,0
Ugt1a7c,2655,2063,2321,2545,2864,1341
Ugt1a6b,12,13,7,4,9,4
Ugt1a6a,914,882,892,712,1105,594
Ugt1a5,8,3,8,8,7,5
Ugt1a2,3,0,5,7,1,1
Dnajb3,11,4,12,21,22,12
Ugt1a1,471,388,434,557,920,336
Mroh2a,24,16,17,22,19,9
Hjurp,699,402,479,654,583,276
6430706D22Rik,0,0,0,0,0,0
Trpm8,0,0,0,0,0,0
Spp2,0,0,0,0,0,0
Gm29538,0,0,0,0,0,0
Glrp1,1,3,0,0,0,0
Gm19589,0,0,0,1,1,0
Arl4c,272,251,227,205,295,145
Platr5,0,0,0,0,0,0
1700067G17Rik,1,0,2,3,2,0
Sh3bp4,1244,900,1055,906,1124,745
C030007H22Rik,0,1,0,0,0,0
Agap1,2165,1371,1469,1771,2067,1023
4933400F21Rik,16,8,4,15,12,4
Gbx2,3,14,4,5,4,4
Asb18,0,0,0,0,0,1
Iqca,0,1,0,0,1,0
Ackr3,428,288,300,313,409,224
Cops8,1118,756,856,776,795,472
Col6a3,3962,3360,2755,4403,5076,2455
Mlph,5436,2922,4514,4821,4421,3553
Prlh,2,5,1,6,10,2
Rab17,584,343,456,531,600,566
Lrrfip1,3961,2539,3139,3446,3866,979
Rbm44,0,0,2,1,1,0
Ramp1,1037,573,801,1124,1222,1168
Ube2f,978,635,840,717,752,280
Scly,857,484,713,577,613,625
Espnl,5,2,3,1,4,2
Klhl30,40,28,42,43,45,37
Erfe,483,279,406,447,380,303
Ilkap,1025,652,833,799,971,467
1700020N18Rik,4,2,2,4,0,0
Hes6,1656,861,1443,1530,1625,1411
Per2,508,399,564,979,2220,564
Traf3ip1,324,189,275,285,315,108
Asb1,260,217,218,224,295,110
Twist2,23,19,31,26,22,15
Hdac4,1533,1075,1182,1112,1516,756
Ndufa10,3996,2723,3456,3293,3654,2531
Mir6900,0,0,0,0,0,0
Olfr1416,0,0,0,0,0,0
Olfr1415,0,0,0,0,0,0
Olfr1414,0,0,0,0,0,0
Olfr1413,0,0,0,0,0,0
Olfr1412,0,0,0,0,0,0
Olfr1411,0,0,0,0,0,0
Olfr1410,0,0,0,0,0,0
Olfr12,0,0,0,0,0,0
Cops9,695,501,583,551,563,732
Otos,3,0,0,0,0,1
Gm29483,0,0,0,0,0,0
Gpc1,557,405,402,353,593,639
Gm29480,2,0,0,0,2,0
Mir149,0,0,0,0,2,0
Ankmy1,4,2,1,3,4,3
Dusp28,291,160,243,201,248,246
5033417F24Rik,29,20,15,20,31,13
Rnpepl1,5301,3581,4412,4324,5265,5493
9430060I03Rik,26,20,24,28,24,18
Capn10,913,574,689,574,562,496
Gpr35,1205,843,987,1098,1234,422
Aqp12,2,108,1,5,4,9
Kif1a,360,244,275,284,440,215
Agxt,5,4,5,2,11,9
Mab21l4,233,170,178,201,321,263
Crocc2,15,41,10,15,29,9
Sned1,433,434,276,446,415,143
Mir6901,0,0,0,0,0,0
Mterf4,236,170,164,203,215,67
Gm28535,8,5,9,2,5,1
Pask,255,149,171,202,203,128
Ppp1r7,1065,758,844,899,939,353
Mir6902,0,0,0,0,2,0
Mir6345,0,0,1,0,0,0
Ano7,2684,1632,2309,2799,2610,1563
Hdlbp,18291,12202,14566,15167,14995,6394
Septin2,4191,2913,3403,3504,3504,817
Farp2,663,458,420,537,581,297
Stk25,10351,7788,8628,8634,9938,5647
Bok,781,459,588,537,605,688
Thap4,1609,1035,1365,1238,1308,1286
Atg4b,1377,920,1114,1130,1169,1041
Dtymk,1011,662,819,737,812,600
Ing5,723,469,593,556,621,326
D2hgdh,587,486,552,634,581,420
Gal3st2,800,400,688,694,757,512
Gal3st2b,113,63,79,128,131,68
Gm7889,1,0,0,0,0,0
Gal3st2c,196,111,138,150,139,57
Neu4,0,0,0,0,5,0
Pdcd1,6,5,4,1,1,5
4930440C22Rik,0,0,0,0,0,0
Fam174a,512,393,416,449,511,458
St8sia4,134,112,111,113,170,41
Gm30431,4,2,0,1,2,0
4930598F16Rik,0,0,0,0,0,0
1700063A18Rik,0,0,0,0,0,0
4930533P14Rik,0,0,0,0,0,0
Slco4c1,0,1,2,2,0,0
Panct2,37,29,23,29,40,10
Slco6b1,0,0,0,0,0,0
Slco6c1,0,0,0,0,0,0
Macir,2208,1484,1855,2014,2257,1197
Ppip5k2,2158,1242,1631,2069,2083,504
Gin1,173,107,162,192,144,69
Pam,4827,3347,3263,3632,4516,1710
B230216N24Rik,26,17,34,23,45,2
1810006J02Rik,7,10,8,10,25,5
Gm29461,0,0,0,1,0,0
Slco6d1,0,0,0,0,0,0
Gm7967,1,2,0,2,1,0
Cntnap5b,4,3,3,3,0,1
Gm20268,0,0,0,0,0,0
Cdh20,2,3,1,0,1,0
